id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,revenue_per_year,price_category,occupancy_potential,facilities
40651692,Mystery Hostel l: Deluxe 10 Bred Mix Dormitory,313221586,Krit,Phra Nakhon,13.75753,100.49709,Shared room,303,1,2,2022-09-29 00:00:00,0,4,181,1,54843,Low,49.59,dormitory
40660343,One Condo Ratchada- Latprao/ 5m walk,105304529,My,Din Daeng,13.79874,100.57305,Entire home/apt,1650,1,0,-2012,0,1,178,0,293700,High,48.77,MRT
40660504,Vtara一室一厅/地铁站免费接驳车/曼谷中心城区/通罗站bts/泳池健身房/伊卡迈街区/nana圈,162537040,Songnya,Khlong Toei,13.71615,100.57714,Entire home/apt,1350,300,2,2020-02-11 00:00:00,0,13,179,0,241650,High,0.16,BTS
40662837,"2 bed rooms condo Bangkok, near  Onnut,",35595894,Ben,Suanluang,13.71449,100.64256,Entire home/apt,1164,2,32,2022-12-12 00:00:00,1,1,341,22,396924,High,46.71,"BTS, Airport"
40666229,Loft Room in Prime Sathorn/near (room3a),23876548,Kate,Sathon,13.71414,100.52748,Private room,690,2,52,2022-12-05 00:00:00,1,9,209,7,144210,Medium,28.63,BTS
40314713,Private Single Studio + Coworking space,214748006,Lita,Din Daeng,13.75745,100.56405,Private room,1164,1,2,2022-11-30 00:00:00,0,4,52,1,60528,High,14.25,"coworking, AC"
40314940,Private Double Studio + Coworking Space,214748006,Lita,Din Daeng,13.75907,100.56505,Private room,1379,1,1,2020-01-28 00:00:00,0,4,46,0,63434,High,12.6,"coworking, AC"
40666564,The local-guestroom in Huatakhe,75390481,Ju,Lat Krabang,13.720785140991213,100.7907485961914,Private room,600,2,2,2022-01-30 00:00:00,0,1,178,1,106800,Medium,24.38,
40315166,Clean & Comfort Bed in Mixed Dormitory + Coworking,214748006,Lita,Din Daeng,13.75631,100.56403,Shared room,471,1,0,-2012,0,4,61,0,28731,Low,16.71,"dormitory, coworking"
40317332,45 sqm. 1BR w/&Outdoor  walk>&,304793117,Pang,Phasi Charoen,13.7181,100.45523,Entire home/apt,1399,28,21,2022-11-19 00:00:00,1,2,122,5,170678,High,1.19,"Pool, BTS, MRT, River View"
